trip_id,arrival_time,departure_time,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,date
20250103-21-21833,23:19:00,23:19:00,01360,Rathburn Rd. W. @ Elora Dr.,43.5850639,-79.6535568,12240125-21,21,Milton,20250103
20241223-31-31201,09:13:00,09:13:00,00824,Guelph St. @ Armstrong Ave.,43.6494751,-79.8849487,12240125-31,31,Guelph / Toronto,20241223
20241130-LE-9027,17:09:00,17:09:00,UN,Union Station,43.645195,-79.3806,08241224-LE,LE,Lakeshore East,20241130
20241204-11-11061,07:39:00,07:39:00,02833,Louth St. @ St. Paul St. W.,43.145281,-79.260042,08241224-11,11,Brock University,20241204
20241218-48-48591,18:29:00,18:29:00,02627,Brock Rd. S. @ Gilmour Rd.,43.466629,-80.1415634,12240125-48,48,Guelph / Hwy 407 Terminal,20241218
20241208-96-96830,23:30:00,23:30:00,00736,Finch Bus Terminal,43.7819481,-79.4159088,12240125-96,96,Oshawa / Finch Express,20241208
20241129-LW-1860,07:41:00,07:41:00,BU,Burlington GO,43.341265,-79.809141,08241224-LW,LW,Lakeshore West,20241129
20241202-70-70380,13:12:00,13:12:00,00959,10953 Hwy. 48 @ Elgin Mills Rd. E.,43.9326401,-79.2737274,08241224-70,70,Uxbridge / Mount Joy,20241202
20241206-16-16891,25:17:00,25:17:00,01007,Main St. W. @ Caroline St. S.,43.2570419,-79.8766251,08241224-16,16,Hamilton / Toronto Express,20241206
20241129-33-33740,19:15:00,19:15:00,00822,Guelph St. @ Noble St.,43.6469536,-79.8575363,08241224-33,33,Guelph / North York,20241129
20241223-41-41521,19:36:00,19:36:00,01012,Main St. W. @ Ray St. S.,43.257885,-79.8809128,12240125-41,41,Hamilton / Pickering,20241223
20241217-41-41230,11:46:00,11:46:00,00971,Kingston Rd. @ Walnut Ln.,43.8308105,-79.0965042,12240125-41,41,Hamilton / Pickering,20241217
20241203-66-66751,20:23:00,20:23:00,02027,Yonge St. @ Green Ln. E.,44.0726738,-79.4845963,08241224-66,66,East Gwillimbury / Hwy 407 Terminal,20241203
20241212-37-37031,05:59:00,05:59:00,00249,Hurontario St. @ Mayfield Rd.,43.7334137,-79.8244095,12240125-37,37,Orangeville / Brampton,20241212
20250101-25-25751,21:15:00,21:15:00,00337,Brock Rd. @ McLean Rd. (Aberfoyle) Park & Ride,43.4609909,-80.133667,12240125-25,25,Waterloo / Mississauga,20250101
20241222-90-90001,05:35:00,05:35:00,02300,Union Station Bus Terminal,43.644042,-79.376939,12240125-90,90,Lakeshore East,20241222
20241218-17-17030,05:08:00,05:08:00,02153,Wilfrid Laurier University,43.4752655,-80.5272827,12240125-17,17,Waterloo / Hamilton,20241218
